review_text,review_rating
"The service I had from the staff was very good, and waiting times at the fracture clinic were minimal.
The one thing that lets the place down is the parking, its absolutely atrocious. I couldn't park in the car park at all on my last visit, I was forced to park on a side road where I received a parking ticket. If you have to come here use public transport/taxi if you can.",4
"The staff were lovely and I couldn't fault it. Can't blame the hospital they are busy too and we should appreciate the free healthcare. We sit and watch TikTok for hours in our day to day life,  I'm sure we can wait for our own health. Negative was parking and waiting for 8 hours but it is what it is. Thank you Russells for your help 😊",4
"I attended Russell's hall a&e department with heart problems all through the process I was treated with great kindness, and professionalism.
I was admitted and received treatment in the same day treatment, and then transferred to the coronary care ward for further treatment. In both departments I received the upmost care and the staff were exceptional.
With a special mention to the nurse in ae department and Milly the Irish nurse in the same day treatment department.
Also the wards were spotlessly clean, with the staff working hard, to maintain the high standards.
The meals were excellent and very tasty.
My thanks go to all concerned for the superb care I received.
What a credit to the NHS they all are.
.",5
"My mom was admitted here,  She cried that one nurse refused to give her, her inhalers, I put a complaint in regarding this nurse. Old blood stained sheets.  Asked for water for mom when we arrived and 3 hours later, she was still waiting. There was so much more but I won't write here. A week after I made the complaint I had a call at 10.13am to say she had taken a turn for the worse. At 10.18am I was told she had JUST passed away. I made a formal  complaint.  In the letter back it stated that she was declared dead at 9.30 which means that when I received the first call, they knew she was already dead. I have my belief into what happened. In the letter, all staff involved had covered for each other.",1
"The 2☆ go to the staff on the MECU who made sure that my best friend was looked after properly during their stay on this ward and to Jason on C7 - these staff made me have faith in the care my friend was receiving - thank you. However, when my friend arrived at A&E they had to wait in a cubicle for 20 hours before they were admitted which is absolutely disgraceful and staff in the A&E were incredibly disrespectful to them. During the almost 10 week stay at Russells Hall, they received no mental health support, and a proper mental health assessment failed to be conducted properly and it was a case of continually passing the book!!!!

When on C7, one member of staff shouted at me for asking a question and bought me to tears as a result of the degree of their intimidation and tone of voice and then assume when they gave me a hug that everything was okay again, when a loved one is in hospital it is not what you expect, to be shouted at by a member of staff and made to feel very distressed!!

This place cannot communicate well at all, the amount of times myself and my friend's partner got asked the same questions because they fail to write things down are unbelievable.

The place that they have then transferred my friend to for further treatment is absolutely diabolical but there wasn't a great deal of choice as they provided no alternative places, so long as they had the bed available that seemed all that mattered in the end.

Thank you to the staff that gave my friend good quality care, but overall as a result of passing the book and a lack of mental health intervention, I do not feel positively about this hospital as I believe my friend's prolonged suffering could have been more easily avoidable, had the relevant teams of people acted like they should have, instead of passing the book onto someone else continuously!!!",2
"A&E is horrendous. I visited three times a week vomiting, losing 5 stone without trying, blacking out to be sent home with anxiety every time and it was all in my head, the next day to collapse and be diagnosed with a fatal disease. If you go do not expect to be able to sit down as no space. Majority of the nurses/receptionist staff look down on you - there is no empathy. Wards are the same - pressed my buzzer for 3 hours with no answer, dragged my Iv drip out to see the nurses plaiting eachothers hair. On the other hand my consultant is brilliant. Shame the rest lets it down.",2
"If I could give this hospital a zero I would. My father was bought under emergency by ambulance 24 hours ago with low heart rate, low oxygen levels  for which he was being given oxygen and stroke symptoms. The stroke team met him on arrival and ordered CT scan, bloods and ecg this was done whilst we were holding outside on the back of ambulance. Seven and half hours on the back of the ambulance before finally going into A&E department. It then took a doctor 12 hours to assess scans to say that more likely had stroke. 24 hours later we are still waiting in a&e for a bed on stroke ward. Absolute joke",1
"I had my first baby at Russell’s hall 3 weeks ago and can honestly say my experience was 5* the care from every midwife I encountered (12 in total during my 40 hour stay) and the midwives with me through the night was flawless. To the doctors who performed my forceps delivery, the anaesthetist’s, everyone was wonderful. There was no wait for anything everything was so efficient and everything went really well for us. Would not have chosen to have my baby anywhere else considering the NHS is at breaking point and there’s a shortage of midwives I didn’t feel for a second my care or my babies care was being neglected and I felt very grateful to have such a lovely experience",5
"My daughter was on day surgery ward on Monday 13th November 2024.
I cannot give enough praise for all the staff that were there but especially Kelly. What a lovely person.
They certainly deserve a pay rise xxx",5
"If its not a textbook problem, don't bother.
111 referred me to urgent care with unexplained sensations in my head. Urgent care said something is going on, you need some further investigation. Told blood tests & CT scan. After a night in A&E waiting room im sent to the Day Care to start all over again! Bloods taken but no results & no CT scan.
More than 13 hours after I arrived at the hospital I'm told to go home because my bloods are OK or not back yet and they haven't got time to do the CT scan because im not ill enough.
NHS no longer have time to investigate, only time to treat the obvious.",1
"I have the honor to work in here for couple of months, it is such a decent hospital, has many hard workers who believes in medicine as a humaine career.

The service is considered excellent compared to other places in the West Midland.

Bless everyone who dedicated their time and efforts ro save someone's else life 🙏💙",4
"I would avoid going to this hospital at all costs, they push severely ill people away and tell them they’re fine. They told a 3 year old girl she was fine and just needed gaviscon. She went to a different hospital and found out it was a tumour in her stomach. This place doesn’t help, it kills",1
"I had to visit the hospital this morning and from the minute I got there until I left which was several hours due to blood tests ECG’s and consultancy and advice I felt I was treated unbelievably well and made to feel so very important ‘ the staff from ANE right through to triage and at the coronary care dept were so kind and considerate I was a bit overwhelmed.
Even the doctors spoke to me with so much respect and explained things so carefully and considerately they were a credit to the hospital and the NHS. Food and refreshments offered and they really couldn’t do enough. I left that hospital feeling humble and so grateful to have been looked after and cared for by so many wonderful individuals.   Thank-you so much",5
"This is aimed at the diabetes department. Its an absolute joke and they couldn't organise a drinking sesh in a brewery. They have completely dismissed the impact diabetes type 1 has had on my mental health. Dr pang the consultant refuses to see me and totally ignored me when I told him I was using alcohol to self medicate. The nurses aren't interested either. One told me that it's me that's the problem and not the diabetes. I have twice been promised an appt with Dr pang since I pleaded with these people for help and this still hasn't materialised. Disgraceful Conduct by this department. I have nothing but resentment towards them. I hope you all rot!
And what a surprise. Not one review on here has been responded too. How caring these scum bags are",1
"Visited with my daughter as it’s the closest hospital to her workplace. They were friendly, very efficient and the staff work very fast. In and out within 1 hour. The parking was easy too. Much better parking than other hospitals we have used closer to home.",5
"Was booked in by my gp to visit the sdec dept. Whole process from start to finish was flawless, staff were very polite and professional. Cannot fault our NHS.",5
"All the people who work and serve at Russell Hall hospital are a credit to their profession.
I cannot speak highly enough of them.
The medical staff mostly do twelve hour shifts and they really care for their patients.
So it's a big thumbs-up from me.",5
Very caring professional staff was my experience in day surgery cardiology today. Im a very bad patient..but they made  me feel so relaxed. And Happy  thank you all so much,5
I have been in Russell Hall hospital as a inpatient and a out patient I have found the staff to be very professional and friendly I really can't speak highly enough of the staff from the medical team right though to the porters anhad cleaning staff I feel very happy for the high quality and standard shown to me,5
"Really poor service, long time waiting (same for different wards), doctors seems to be absent all the time. Last time we were formally apologized by hospital. Lately we came back with same problem - and again, same story of neglection over and over. This place is poorly managed, if it's at all",1
I had a😭 stroke a week ago and the care and treatment received has been truly amazing. They have done everything they possibly can for me. The stroke team on c8 are just 👍👍. They are also very accommodating for my 2 young children to visit. These staff members work tirelessly to ensure we have the best chance of a speedy recovery. I do not know where I would be with out them 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻😘😍that includes the catering and cleaning teams all brilliant.,5
"Regarding care at this hospital, it is almost faultless, but it's administration is abysmal. Patients waiting for hours to be discharged, waiting for medications all because of lack of communication. ☹️",2
"My sister suffered horrendous racial abuse by a nurse “Christine Walsall”, told my sister to “go back to where you came from”. Issue has been reported to police and NHS, this issue will not go unresolved, I assure you.",1
"I was an outpaitient yesterday, visiting A&E and SDEC. The treatment I received was exemplary. From the volunteer who pushed the wheelchair for my husband to all the many medical staff who attended me. Thank you all so very much",5
"I went to Russell's Hall hospital 2 weeks ago, had to go to a&e minors cause had a broken wrist that morning at 6pm. The consultant I saw was wonderful and the nurse who helped him. If it hadn't of been for these two lovely people putting me at ease. I don't know what I would of done. They were wonderful.
Yet I had a CT scan done last Friday for something different, couldn't rate them the same. CT scan people I would give two stars.",4
"A&E department is a joke. The receptionist look you up and down like dirt and couldn't care less about their job. Please hire people who care about helping others, it will make a huge difference!!",1
"If you are expecting a baby I would suggest not coming to this hospital! Me and my partner are expecting our first child and through out the pregnancy my partner has experienced quite a lot of pain at different stages throughout and each time we’ve been to the maternity triage it’s been horrible,

We got told at 26 weeks in, that the pains could be pre-term labour and that he could be born in 48 hours, so they gave them some steroids to help him develop, we was then told it wasn’t preterm labour and that she was being kept in because she’s in pain. The next time we went with the same pains they said the exact same thing and kept her in the night, only for them to say the same thing.

It was only until we went to our out of hospital midwife and she did some test did we find out she had a pretty serious water infection, with the amniotic fluid being infected, that they had neglected to test for even though it’s the second mandatory test in the midwives handbook ( our midwife showed my partner for proof) luckily after daily checks from her did the water infection clear.

Then today, we suspected her waters have broken as the symptoms all matched up to it being amniotic fluid and not discharge ect. We was treated so rudely throughout my partner wasn’t asked once how she was feeling or why we are here, they just did some tests and didn’t tell us the results until we was being moved back to the waiting room. When a midwife just said “why you still here” to which we asked about the test results, which were negative, when we asked what is was ,all we got was “ I don’t know what you want me to say”

Absolutely disgusting experience all the way through the pregnancy, my partners needs or requests were not respected and we had students laughing in room whilst quite personal tests was being performed.

Update, they’ve now put us through for a C section after telling us we can give birth naturally, blame us for not booking one earlier, so now they have to do one at a time frame where he and my partner will be put at risk. Thanks Russell’s hall for the disgusting negligence per usual

Place deserves to be shut down and sorted out",1
"I had to go to A&E as I was bitten by a dog whilst out running at Saltwells. Obviously, I wasn't looking forward to it as I thought there might be long waiting times due to the junior doctors strikes. I waited just over hour which was fine as I only had a minor injury. The clinician and the staff I encountered in minor injuries, X-ray and the pharmacy were all fantastic, thorough and helpful. I know that not everybody's experience with the NHS can be good and that can be mainly down to the underfunding and understaffing pressures on the service. But, life would be a lot worse and more expensive without. Just wanted send my thanks for a great service.",5
Visit to A&E today by ambulance with my wife. Experienced the NHS at its best. Amazing care and staff. Pity we are losing it.,5
"My nan went into this hospital to have a drip in
Her hand and 2 days later she did not come out. This is by far the worst hospital ever DO NOT Send your family here for any kind of serious emergency cause they will not be going back home. Absolutely disgusting she was telling the nurses she had pains and the one lady replied aww! Took them 2 days to find she had a clot on her lungs even though they had done blood tests and chests-rays and when one woman had realised something was seriously wrong with her it was to little to late. She was left hours waiting to been seen! Absolutely disgraceful do not understand how you have not been shut down yet the amount of people you let slip in here down to neglect!! you should know to act quickly and not assume people are there for nothing and actual real problems!!!!",1
"Most nurses here are wonderful, kind and attentive. They go the extra mile to make sure you are happy and comfortable during your stay and I thank them so much. However the reason for the 3 stars is for Dr. Choudry while I had Covid and double pneumonia he's denying me oxygen supply. Imagine a doctor saying ""I dont have to give you any oxygen at all"" when you're fighting for your life with Covid and pneumonia. This guy doesnt belong anywhere in the healthcare field, ask to see another doctor if he's assigned to you for your lifes sake. Literally.",3
"Called main reception number just to confirm what department I'd need to arrive at as I'd miss placed my letter they sent so just wanted to confirm with them. Receptionist was very rude when I explained the situation, just said ""Well I ain't got a clue"" in a sharp tone, I then said it's to collect a heart rate monitor. To which she replied ""Well that's cardiology isn't it"" then put me though. The woman at cardiology was actually very helpful and polite so I've given an extra star because of that. Whoever they have on the reception phone definitely needs a training course in manners.",2
"My mom was admitted to this place. Sorry can't call it a hospital because its useless. She only went in with constipation. We got our mom out of this place. Got her home sadly RIP mom after 3 weeks.. they gave my mom wrong treatment,  made her alot worse.",1
I was there with my son last night. It was standing room only and heaving. Everyone we saw were absolutely amazing and looked after my lad so well. One ECG nurse was a little rude to start but soon calmed down and gave a good bedside manner. With the strain in the NHS at the moment and how busy they were I can honestly say our treatment was brilliant.,5
I have been coming to this hospital for 39 years as out patient and in patient. I think over the amount of years I have visited been an in patient and out patient. I have no complaints about my treatment in any department. 10 out of 10 Russells hall.,5
"Simplicity outstanding service with a big 5 stars
I have broken my foot. I was seen and treated within 45 minutes. Simplicity outstanding and thank you Russells hall for a five star service",5
"Hubby was in coronary care. I can honestly say the care he was given was excellent
The ward staff are amazing they went above & beyond in all treatments. Maintained dignity & respect at all times. Anything asked for was sort asap. Thank you for giving me back my husband. It could of been goodbye xx",5
"Hands down the worst most negligent hospital I've ever been to. I urge anyone with family members awaiting treatment for vascular or amputation to transfer to a different hospital. The nursing staff on B3 treated my elderly father horrendously. The ward was filthy, the nurses rude and abusive.",1
I was there to drop a machine that was given to my daughter to monitor her respiratory and I did not stay upto 2minutes there. It was a quick one.,5
What can I say from 999 call to paramedics ED department and then moved AMU and all the other staff and volunteers amazing service from everyone at Russell's Hall hospital thank you from Iris and April keep up the excellent work,5
"Absolutele joke of an hospital, my partner went to the hospital at 2.30pm with my son who is only 18 months old that was finding hard to breath, spent hours in emergency care, before she had to say something to the nurse, because of long it was taking, then was told to go the children's ed, spent hours there only to have obs done and nothing else, in the end we asked staff what is happening, not really given information just told not sure, this hospital is a failure.
My son is back home now has we couldn't wait any longer after being up there nearly 6 hours with nothing done. I hate this hospital and the way it is managed",1
I had a knee op yesterday on ward B21. I can't praise ALL the staff enough. From start to finish I was treated with respect and dignity. If someone called for help a member of staff came straight away and dealt with request straight away. I was regularly asked if I was OK. We were all offered refreshments. All which made for a pleasant relaxing experience. THANKYOU !,5
very appropriate all nurses and staff who working so hard. I understand that you faced tons of people in a day. I speak to one of the lady in urgent centre about my medicine then she has just hang up on me so I rang back right away then one of her team say she gone back home.  Woah this is crazy. Our lives are threatened miss. I wish Karma hits you real hard.,2
"The nurse in the minors who looked after me last week was absolutely brilliant,  it's the same nurse who saw me at Christmas too and she remembered me.
She deserves a massive shout out, sadly I didn't get her name",5
"I’ve been referred by my GP 24 months ago, I am still waiting for my appointment. Meanwhile, my issues became so severe that they withdrew my driving licence… I am 26 year old!
Update: today is Tuesday 22 Aug 2023. It’s been 3 and a half years, I’m still waiting on an appointment, and worse still, when I talk to them they can’t give me an estimate waiting time, or any information about the length of their waiting list. They just tell me I have to wait. I was a happy productive man, living with my girlfriend and trying to set a date for our wedding.
I am now unemployed, moved back in with my dad and limited to applying for jobs that don’t require driving, aren’t miles away from bus stops, and also don’t impose shifts (can arrive to Amazon warehouse in the middle of nowhere for work at 2 am when their shift starts… there are no buses at that time). Being diagnosed didn’t cure me, it just destroyed my life. I wish I never went in for the test 3 years ago.",1
"My husband has just had a knee replacement. His care and treatment from all staff from the cleaners, catering, nurses of all levels and the doctors was exemplary. My husband has an additional problem of being registered blind, they made sure that he was well informed and safe. Can't speak highly enough of them, may the NHS grow and prosper, may these magnificent staff be paid for what they are worth.",5
This hospital murdered my daughter in September last year they let her fit for a hour and half before putting her on a ventilator they starved her brain of oxygen,1
"Shocking. First was discharged from A n E, had to return back to hospital. Had knee op. Was constantly given false information in regard to if i was on operation list or not. Once i had operation i was moved onto ward B2. Nightmare, my buzzer wasnt given to me so had to struggle from bed to go toilet. Only to be told i should of rang buzzer. Well i would if you had given it me. The same night, nurse made a potentially fatal error. I was taken off codeine and put on tramadol. Nurse attempted to issue me with both, only because i tasted the codeine did i spit them out. This is a big No No, you dont mix Opioid based tablets.",1
"Had an elective c-section here (second child). C-section was done one week before due date. My daughter had an underdeveloped liver, but was ok within a few weeks of aftercare. No other complications but felt a little rushed to go home after the operation. There weren't enough hospital beds. Been to the A&E with my oldest daughter and was seen within 3 hours. Overall not a bad hospital but treatment seems a little rushed.",3
"Attended,A E, Not feeling well,I was met by , lovely nurse,who  , immediately , made me feel ,in safe hands Doctors , was on hand ,to take me under their Care , After tests was admitted to Cardiology , was met With a lovely Nurse Explained everything ,to me . After more tests etc, wasn't stressed anymore, My states was,the very best, Treatment,I could have wished for STh could ever had Thank you to all at",5
"After a recent operation and short stay on B1 cannot fault the care.
However, discharge is a joke!
Waited from 10 am until 5 pm for simple paperwork to be discharged. No wonder they are desperate for beds.",4
Thankyou to the day surgery staff who was highly professional team who kept me well informed  .treated me with kindness and respect your a amazing team,5
No one ever answers a phone no matter what time you ring . Unable to get an update on loved ones who have been in the hospital. Surely relatives and friends of patients deserve some respect and reassurance.,2
My wife had our baby at Russell’s hall this year  and her experience was awful . She was told to stay awake all night to watch our sleeping baby and staff were very rude . I have made a complaint . There were a handful of staff that were lovely but she interacted with over 15 members of staff and it was a unpleasant experience which left her scared and calling me in tears not wanting to stay there but she stayed as she didn’t want to leave our baby on his own . I personally when I was visiting my wife as she was there for 1 week heard the staff undermining and speaking down to people . UNACCEPTABLE,1
Went into A and E today as my husband had been referred by 111 to check on possible negative effects of an accidental overdose of prescribed medication.  I expected to wait for hours but my husband was seen and assessed quickly and we were on our way home within 40 minutes.  First class.,5
"90 yo dementia lady in a&e waiting room for 18hours+ in a wheelchair no sleep,little food and drink is not acceptable",1
"I cannot praise Russell's Hall Hospital enought. In the last 6 months they have helped me out and took care of me three times when I could not get an appointment or any action from my GP practice.

The doctors, nursing staff and administrators that I have dealt with have been excellent, very professional and caring and have made sure that my treatment and medication have been properly put in place and managed. I cannot thank you eneough!",5
A&e wait times are a joke .. the waiting room is not big enough .. and you spend more time and money just waiting to be told u need to wait even longer for other things,2
"First like to say, the surgery team are amazing, did a really good job on my ankle, was really polite and ongoing, the trial nurses (work experience via university) staff were brilliant and polite, unfortunately the actually nurses were really rude, and didn’t help very much at all, was moved all around the hospital due to the nurses not knowing what they were supposed to do, very selfish people all around.",3
"Cannot praise staff at AMU highly enough for how they’ve looked after my dad for his last few days. Staff are a real credit to the NHS.
Parking is a nightmare but it’s hard to see what the hospital could do to improve things given the limited space they have",5
"Went for a scan very friendly and helpful nurses. Current road closures on route no fault of the hospital. Russells Hall is a well established hospital.
The lack of investment in all hospitals is apparent, makes one wonder what happens to the excessive car parking charges.
Can not fault the staff they try to make things easier under extremely trying times. The government is failing in many ways at present and previously.",4
"Visited Day surgery unit today for removal of tooth and a root that the dentist couldn't get out under local so had to have a general anaesthetic. Everything was perfect from start to finish. Reception staff, ward staff, and student nurse was great and made me feel comfortable and at ease. The surgeons and the anesthetist came to see me on the ward before and explained everything and the theatre staff and recovery staff were also very caring and helpful.
Thanks you everyone",5
Shocking experience at this hospital with my 85 year old dad - Parkinson’s and a broken hip. So many of the nurses are so amazing and helpful but the one over his ward in B4 is shocking. Leaving him to his own devices. Trying to get him moved.,1
"Very professional care.
I was at ward B5 doctor John and staff were very nice and  professional.
I had a very bad throat infection next day after the treatment and medications I was much better.

A big thank you!!!",5
