new_review_text,new_review_rating
"Bad experience, I lost an expensive belt while going through the control.
When I was passing the control, the border agent told me and the people behind me to leave all small liquids,laptops inside the bags (I thought there was some improvement to the scanning machine). Anyways, we did this, and the 10 of us that did this got our luggage flagged so they had to be rescanned (On top of that there was a queue building up as it was early in the morning). There was a young guy (airport staff) helping in the scanning section (dark skin, 18-23 years old, looking like a chav) wno was carrying the trays and putting them through the scanner again. When he saw my tray, I saw him taking an interest and touching some stuff around in the distance, I couldn't really see as he passed by a column and was covered. When my stuff came out, I was in a hurry as my flight was boarding, and got all my stuff from the tray and did not notice that my expensive belt (Paul Shark Brand, over 300 euros) was gone. I only realised when I made it to the plane. I believe the chav dude took my belt out and kept it for himself. Disgusted. The airport's help is appalling, I immediately sent an email and asked them to check lost property if my belt was there but nothing. I told them the exact time and hour I went through the control and asked them to check CCTV cameras as I believed one of his employees stole my belt but they totally ignored my email. Unhappy and dissatisfied and will file a complaint report.",1
"Possibly the worst airport in the UK and I have flown from Manchester and Luton.
We waited for nearly half an hour after landing for the one and only transfer bus. Once in the building the service handler failed to open the door to allow people through into the terminal itself. There were a great many people and an escalator bringing us all up to the unopened door, therefore causing a crush at the top with people unable to protect themselves from falling. It was chaos.

This airport is literally in the middle of nowhere. Airport taxis charge £33 for a taxi to Leeds Railway station! The alternative is 50 mins by bus . There is nothing to recommend it. Truly appalling. Fly from anywhere other than this place is my very strong advice.",1
"I want to use LBA & be proud of it welcoming visitors to our beautiful county but this airport is an embarrassment.
We arrived back from Alicante & on leaving the transfer bus were left outside the arrivals area without shelter in a hailstorm. Once inside the arrivals we got on the escalator, as we reached the top the area was packed with passengers & bags so we couldn't get off.
There were people behind us with nowhere to go & many were elderly. It was a scary situation not helped by staff members shouting hit the button but no one knowing where this button was. It was a miracle nobody was injured.
The queue to get through immigration was a long one taking nearly  40 minutes. There are no toilet facilities until after passport control & these are small & inadequate.
I think management at LBA should take a look at Alicante airport & use that as a template. It is well organised, spacious, has quality facilities & the staff are professional & motivated. Prerequisites for an airport these days but which sadly seem to be lacking at Leeds Bradford.
The whole experience at LBA was challenging & not enjoyable. This was mid April so I dread to think what it will be like in July & August. I for one will not be going to find out, sadly I'll go via Manchester until Doncaster is operational once again.",1
"Exciting Journeys Do Not Start Here.

Appalling management of security. Over 50 minutes wait with inaccurate wait times displayed, stating 25 mins. Be warned!! The whole thing is arranged around selling fast track. Which isn't faster!! The idea of your lovely holiday starting with a soul destroying queue is a fine example of the contempt which we are held in. I would loved to have spent some money airside on food and drink but only 1 of 4 lanes was open so didn't have time. I have been to many airports and this is by far one of the worst security processes I've and my traveling compansions have experienced. Just awful. No staff about and unesscary slow processes, broken machinery on one lane but staff didn't have the mental capacity to open another lane instead just stood about. They shouted at people without cause, rude and poorly organised. Worryingly the conditions in the security area presented a significant risk as staff were not being diliengent enough nor able to manage the public effectively. The only toliet was out if order. The gates area was messy and dirty the staff were rude and the many stores with tills closed... 'because they are'. Very poor service. The whole security breakdown occurred at a crucial time due to poor maintenance of equipment and poor planning. The whole things is a sign of poor management and leadership.

If you want to start your holiday in a hot, uncomfortabke queue, be late for your flight, be shouted out, be stressed then book at LBA. If not, then book at Manchester Airport which you manage to get through in under 15 mins.",1
"Shambles of a place. They no
idea how to run an airport. Waited on plane 1/2 hr just to get to arrivals when we could have walked in 2 minutes. Then another 1/2hr que for passport control. You lot are so behind everyone else. Get a grip",1
"They create a problem by delaying security checks, wich crates a que all the way to the entrance door.
And after they try to sell you a fast track ticket on their website for £9. Cheeky management. Will try to avoid the airport when possible.",1
Absolute carnage. Two people on security. The queues were enormous. One staff member checking boarding passes for an entire flight. Left standing in what looks like a portacabin. It’s a disgrace. Airport management should be ashamed. Airline should be ashamed. Employ more staff and stop lining the wallets of the already wealthy executives.,1
"Absolute joke of a airport.
May call itself international but it isn't.
Dirty floors and lack of comfortable seating.
Going through security was an experience not to be repeated.
Absolute chaos . I wouldn't be surprised if people passed through with items not permitted.
No one appeared to be in charge and staff were all over the place like headless chickens.
On arrival back at LBA we were bussed to the terminal where surprise surprise the escalator up towards passport control was not working.
I cannot remember a time when it was operational and neither could some fellow passengers. Why?
I use this airport purely for convenience.
This does not mean however that it is acceptable for it to be so disorganized and dirty every time I travel.
Someone needs to be held to account for this sorry state of affairs and pull their finger out.",1
"Arrived today at Leeds Bradford Airport.  This has to be one of the most depressing airports in the UK, and the UK has the worst airports of any developed country I have visited in the past 20 years.

20 minutes for a bus to take passengers from the plane, a car park that is a building site, a worn out terminal, £6 car park charge to collect a passenger.  A poor bus service - every 1 hour 20 minutes to Harrogate, the nearest town.  No realistic train connection.  No near motorway even though Leeds has motorways running north, south, east and west.  I cannot think of anything positive to say.",1
"Absolutely the worst experience about this airport. It’s a pity that Doncaster-Sheffield (which was waaaay better than LBA) has been shut down and WizzAir moved their network to Leeds. No speaker and announcements about gates, delays etc. Absolutely no sound at all at this „airport”. Counters covered behind metal doors. Very rude employees. I missed flight because absolutely nobody informed about gate number (flight was delayed and gate was secretly displayed on screen AFTER scheduled departure time). It’s ridiculous how bad they’re treating people there. And one security lane is also a joke. If someone has a choice to fly from different airport, I would recommend to do this, even if it’s a bit further. One word can describe this place: disaster.",1
